wm,dw,pv_bess,ev,critical
0.0,0.0,0,0.0,0.1
0.0,0.0,0,0.0,0.12
0.0,0.0,0,0.0,0.12
0.0,0.0,0,0.0,0.24100000000000002
0.0,0.0,0,0.0,0.243
0.0,0.0,0,0.0,0.196
0.0,0.0,0,0.0,0.245
0.0,0.0,0,0.0,0.17
0.0,0.0,0,0.0,0.145
0.0,0.0,0,0.0,0.105
0.0,0.0,0,0.0,0.115
0.0,0.0,0,0.0,0.145
0.0,0.0,0,0.0,0.115
0.0,0.0,0,0.0,0.12
0.0,0.0,0,0.0,0.115
0.0,0.0,0,0.0,0.096
0.0,0.0,0,0.0,0.08800000000000001
0.0,0.0,0,0.0,0.10099999999999999
0.0,0.0,0,0.0,0.084
0.0,0.0,0,0.0,0.071
0.0,0.0,0,0.0,0.038
0.0,0.0,0,0.0,0.077
0.0,0.0,0,0.0,0.042
0.0,0.0,0,0.0,0.083
0.0,0.0,0,0.59,0.16
0.0,0.0,0,0.514,0.23600000000000002
0.0,0.0,0,0.0,0.185
0.0,0.0,0,-0.17500000000000027,0.175
0.0,0.0,0,0.528,0.222
0.0,0.0,0,-0.17700000000000027,0.177
0.0,0.0,0,-0.15,0.15
0.0,0.0,0,-0.12400000000000033,0.124
0.0,0.0,0,-0.2110000000000003,0.21100000000000002
0.0,0.0,0,-0.26500000000000035,0.265
0.0,0.0,0,-0.3140000000000003,0.314
0.0,0.0,0,0.44,0.31
0.0,0.0,0,-0.28600000000000003,0.28600000000000003
0.0,0.0,0,-0.3300000000000003,0.33
0.0,0.0,0,-0.3140000000000003,0.314
0.0,0.0,0,0.435,0.315
0.0,0.0,0,-0.3350000000000002,0.335
0.0,0.0,0,-0.26,0.26
0.0,0.0,0,-0.29000000000000026,0.29
0.0,0.0,0,0.0,0.295
0.0,0.0,0,-0.24500000000000033,0.245
0.0,0.0,0,-0.25,0.25
0.0,0.0,0,-0.24500000000000033,0.245
0.0,0.0,0,0.0,0.235
0.0,0.0,0,-0.24500000000000033,0.245
0.0,0.0,0,0.0,0.221
0.0,0.0,0,0.0,0.209
0.0,0.0,0,0.0,0.19
0.0,0.0,0,-0.19100000000000028,0.191
0.0,0.0,0,0.0,0.168
0.0,0.0,0,0.24341551246536142,0.162
0.0,0.0,0,0.58,0.17
0.0,0.0,0,0.571,0.179
0.0,0.0,0,0.0,0.17
0.0,0.0,0,0.59,0.16
0.0,0.0,0,0.0,0.161
0.0,0.0,0,0.505,0.245
0.0,0.0,0,0.0,0.165
0.0,0.0,0,0.706,0.044000000000000004
0.0,0.0,0,0.709,0.040999999999999995
0.0,0.0,0,0.711,0.039
0.0,0.0,0,0.719,0.031
0.0,0.0,0,0.711,0.039
0.0,0.0,0,0.0,0.028999999999999998
0.0,0.0,0,0.699,0.051
0.0,0.0,0,0.704,0.046
0.0,0.0,0,0.0,0.044000000000000004
0.0,0.0,0,-0.05,0.05
0.0,0.0,0,0.704,0.046
0.0,0.0,0,0.5660000000000001,0.184
0.0,0.0,0,-0.40900000000000025,0.409
0.0,0.0,0,-0.27100000000000013,0.271
0.0,0.0,0,0.0,0.23600000000000002
0.0,0.0,0,-0.17000000000000015,0.17
0.0,0.0,0,-0.13800000000000012,0.138
0.0,0.0,0,-0.026000000000000245,0.026000000000000002
0.0,0.0,0,-0.02000000000000024,0.02
0.0,0.0,0,-0.046,0.046
0.0,0.0,0,-0.045,0.045
0.0,0.0,0,0.705,0.045
0.0,0.0,0,-0.065,0.065
0.0,0.0,0,-0.07,0.07
0.0,0.0,0,0.0,0.028999999999999998
0.0,0.0,0,0.72,0.03
0.0,0.0,0,0.0,0.035
0.0,0.0,0,0.0,0.046
0.0,0.0,0,0.0,0.032
0.0,0.0,0,0.0,0.048
0.0,0.0,0,0.0,0.03
0.0,0.0,0,0.0,0.025
0.0,0.005,0,0.0,0.03
0.0,0.003,0,0.0,0.04
0.0,0.0,0,0.0,0.05
0.0,0.0,0,0.0,0.05
0.0,0.0,0,0.0,0.034
